fwdfld[mT],fwdM[Am2],fwdM[arb],revfld[mT],revM[Am2],revM[arb]
-12.825090264114607,-7.832112763711957e-9,-0.9773062887097226,-12.825090264114607,-6.2451016877248655e-9,-0.7792759549279746
-12.725090264114606,-7.826019634836028e-9,-0.9765459762183148,-12.725090264114606,-6.209741393178674e-9,-0.7748636284876894
-12.625090264114608,-7.819911080804574e-9,-0.9757837389459503,-12.625090264114608,-6.174024782659435e-9,-0.7704068402461339
-12.525090264114606,-7.813792304596677e-9,-0.9750202261304951,-12.525090264114606,-6.137957775587573e-9,-0.7659063288401206
-12.425090264114607,-7.807667694237421e-9,-0.9742559853182674,-12.425090264114607,-6.101565950121485e-9,-0.7613652859620839
-12.325090264114607,-7.80154082279788e-9,-0.9734914623640369,-12.325090264114607,-6.064859561062875e-9,-0.7567849912261583
-12.225090264114606,-7.795414448395116e-9,-0.9727270014310239,-12.225090264114606,-6.027842491651299e-9,-0.7521659291905407
-12.125090264114608,-7.789290514192195e-9,-0.9719628449909009,-12.125090264114608,-5.990518101939077e-9,-0.7475085191291055
-12.025090264114606,-7.783170148398168e-9,-0.9711991338237914,-12.025090264114606,-5.952889228791295e-9,-0.7428131150314048
-11.925090264114607,-7.777053664268077e-9,-0.9704359070182702,-11.925090264114607,-5.9149581858858075e-9,-0.7380800056026684
-11.825090264114607,-7.77094056010297e-9,-0.9696731019713641,-11.825090264114607,-5.876726763713231e-9,-0.7333094142638038
-11.725090264114607,-7.764829519249877e-9,-0.9689105543885508,-11.725090264114607,-5.838196229576948e-9,-0.7285014991513958
-11.625090264114606,-7.758718410101822e-9,-0.9681479982837592,-11.625090264114606,-5.799367327593109e-9,-0.7236563531177075
-11.525090264114606,-7.75260428609783e-9,-0.9673850659793701,-11.525090264114606,-5.760240278690632e-9,-0.7187740037306793
-11.425090264114607,-7.746474904824423e-9,-0.9666202298431803,-11.425090264114607,-5.720814780611193e-9,-0.7138544132739292
-11.325090264114607,-7.740306557252726e-9,-0.9658505314163781,-11.325090264114607,-5.681090007909241e-9,-0.7088974787467529
-11.225090264114607,-7.734094025092393e-9,-0.9650753195505283,-11.225090264114607,-5.641064611951987e-9,-0.7039030318641237
-11.125090264114606,-7.727832930867313e-9,-0.9642940480156333,-11.125090264114606,-5.600744373683689e-9,-0.6988717939835284
-11.025090264114606,-7.721518989690883e-9,-0.9635061821351957,-11.025090264114606,-5.560140651814582e-9,-0.6938051824669583
-10.925090264114607,-7.715148009266023e-9,-0.9627111987862187,-10.925090264114607,-5.519250080349671e-9,-0.6887027772990005
-10.825090264114607,-7.70871588988517e-9,-0.9619085863992054,-10.825090264114607,-5.478067800171752e-9,-0.6835639721495441
-10.725090264114607,-7.702218624430283e-9,-0.9610978449581605,-10.725090264114607,-5.43658774987447e-9,-0.6783880106644957
-10.625090264114606,-7.695652298372831e-9,-0.9602784860005881,-10.625090264114606,-5.394802665762318e-9,-0.6731739864657792
-10.525090264114606,-7.689013089773812e-9,-0.9594500326174932,-10.525090264114606,-5.352704081850642e-9,-0.6679208431513365
-10.425090264114607,-7.682297269283736e-9,-0.9586120194533816,-10.425090264114607,-5.310282329865632e-9,-0.6626273742951264
-10.325090264114607,-7.675501200142628e-9,-0.9577639927062586,-10.325090264114607,-5.267526539244331e-9,-0.6572922234471259
-10.225090264114606,-7.668621338180037e-9,-0.9569055101276308,-10.225090264114606,-5.224424637134628e-9,-0.6519138841333288
-10.125090264114606,-7.661654231815027e-9,-0.956036141022505,-10.125090264114606,-5.180963348395265e-9,-0.6464906998557473
-10.025090264114606,-7.654598306923357e-9,-0.9551556889685914,-10.025090264114606,-5.1371281955958285e-9,-0.6410208640924101
-9.925090264114607,-7.64745643469149e-9,-0.9542645122381307,-9.925090264114607,-5.092903499016756e-9,-0.6355024202973641
-9.825090264114607,-7.640225739198165e-9,-0.953362251968065,-9.825090264114607,-5.0482723766493364e-9,-0.6299332619006738
-9.725090264114606,-7.632902670522582e-9,-0.9524484651923611,-9.725090264114606,-5.003215713061389e-9,-0.624311003641472
-9.625090264114606,-7.62548352777268e-9,-0.9515226901064983,-9.625090264114606,-4.957709406165255e-9,-0.6186326380143063
-9.525090264114606,-7.617964459085128e-9,-0.9505844460674655,-9.525090264114606,-4.9117325056721035e-9,-0.6128955508013227
-9.425090264114607,-7.610341461625334e-9,-0.9496332335937645,-9.425090264114607,-4.865263657642967e-9,-0.607097077416416
-9.325090264114607,-7.602610381587438e-9,-0.9486685343654079,-9.325090264114607,-4.8182804884882835e-9,-0.6012344260394941
-9.225090264114606,-7.594766914194311e-9,-0.9476898112239195,-9.225090264114606,-4.7707596049679025e-9,-0.5953046776164772
-9.125090264114606,-7.586806603697565e-9,-0.9466965081723345,-9.125090264114606,-4.722676594191088e-9,-0.5893047858593
-9.025090264114606,-7.578724843377541e-9,-0.9456880503751998,-9.025090264114606,-4.674006023616513e-9,-0.5832315772459093
-8.925090264114607,-7.57051687554332e-9,-0.9446638441585736,-8.925090264114607,-4.624721441052262e-9,-0.5770817510202655
-8.825090264114607,-7.562177791532713e-9,-0.9436232770100252,-8.825090264114607,-4.574795374655831e-9,-0.5708518791923417
-8.725090264114606,-7.553702531712264e-9,-0.9425657175786353,-8.725090264114606,-4.524199332934127e-9,-0.5645384065381245
-8.625090264114606,-7.545085885477256e-9,-0.9414905156749961,-8.625090264114606,-4.472903804743469e-9,-0.5581376505996135
-8.525090264114606,-7.53631863592113e-9,-0.9403965211955512,-8.525090264114606,-4.420878259289587e-9,-0.5516458016848215
-8.425090264114607,-7.527388733616891e-9,-0.9392822305893267,-8.425090264114607,-4.368091146127622e-9,-0.5450589228677741
-8.325090264114607,-7.518290726184875e-9,-0.9381469634977657,-8.325090264114607,-4.314509895162127e-9,-0.5383729499885106
-8.225090264114606,-7.509019403038035e-9,-0.9369900697336656,-8.225090264114606,-4.260096749872958e-9,-0.5315831717148922
-8.125090264114606,-7.499569681921286e-9,-0.9358109151233359,-8.125090264114606,-4.204802259322001e-9,-0.5246834174625238
-8.025090264114606,-7.489936608911496e-9,-0.9346088815065975,-8.025090264114606,-4.148589967872548e-9,-0.5176691382260361
-7.925090264114607,-7.48011535841749e-9,-0.9333833667367827,-7.925090264114607,-4.091424263929544e-9,-0.5105358903212222
-7.825090264114607,-7.470101233180055e-9,-0.9321337846807356,-7.825090264114607,-4.033269046905115e-9,-0.5032791690463976
-7.7250902641146055,-7.45988966427193e-9,-0.9308595652188119,-7.7250902641146055,-3.974087727218554e-9,-0.49589440868240037
-7.625090264114606,-7.449476211097815e-9,-0.9295601542448789,-7.625090264114606,-3.913843226296331e-9,-0.48837698249259126
-7.525090264114606,-7.438856561394362e-9,-0.9282350136663156,-7.525090264114606,-3.852497976572088e-9,-0.4807222027228529
-7.425090264114607,-7.4280265312301814e-9,-0.9268836214040119,-7.425090264114607,-3.790013921486638e-9,-0.47292532060159076
-7.325090264114607,-7.416982065005843e-9,-0.9255054713923704,-7.325090264114607,-3.726352515487969e-9,-0.46498152633973244
-7.2250902641146055,-7.40571923545387e-9,-0.9241000735793041,-7.2250902641146055,-3.6614747240312404e-9,-0.4568859491307281
-7.125090264114606,-7.394234243638747e-9,-0.9226669539262388,-7.125090264114606,-3.5953410235787883e-9,-0.44863365715055054
-7.025090264114606,-7.382526695223731e-9,-0.9212060632270673,-7.025090264114606,-3.5279114016001185e-9,-0.4402196575576947
-6.925090264114607,-7.3706139058820884e-9,-0.9197195621652333,-6.925090264114607,-3.459145356571911e-9,-0.4316388964931781
-6.825090264114607,-7.3584956010841745e-9,-0.9182074164843929,-6.825090264114607,-3.3890018979780173e-9,-0.42288625908054045
-6.7250902641146055,-7.346167237646316e-9,-0.9166690592772364,-6.7250902641146055,-3.3174388003695435e-9,-0.4139564763460076
-6.625090264114606,-7.3336237124314084e-9,-0.9151038537643745,-6.625090264114606,-3.2443774657456625e-9,-0.4048397406779165
-6.525090264114606,-7.320859362348919e-9,-0.9135110932943379,-6.525090264114606,-3.169755853382154e-9,-0.3955283105138349
-6.425090264114607,-7.307867964354882e-9,-0.9118900013435772,-6.425090264114607,-3.093533141390289e-9,-0.3860170920189604
-6.325090264114607,-7.294642735451903e-9,-0.9102397315164634,-6.325090264114607,-3.0156694251253352e-9,-0.3763011058139835
