"field.fitted","psf.m3","psf.norm","mh.norm","direction","fwhm","fifthThird"
-19.3726,-1.10018397317596e-11,-0.00705251347986849,-0.997372338731455,"forward",7.6433,0.410590856096298
-19.361,-1.10035992652153e-11,-0.00705364139426436,-0.997416918001461,"forward",7.6433,0.410590856096298
-19.3493,-1.10053759551836e-11,-0.00705478030650601,-0.997461504469434,"forward",7.6433,0.410590856096298
-19.3375,-1.10071697376015e-11,-0.00705593017552704,-0.997506098204621,"forward",7.6433,0.410590856096298
-19.3256,-1.10089805501447e-11,-0.00705709096137581,-0.997550699276017,"forward",7.6433,0.410590856096298
-19.3137,-1.10108083350191e-11,-0.00705826262700439,-0.997595307752382,"forward",7.6433,0.410590856096298
-19.3017,-1.10126530322503e-11,-0.00705944513396741,-0.997639923702234,"forward",7.6433,0.410590856096298
-19.2897,-1.10145145872299e-11,-0.00706063844725932,-0.99768454719387,"forward",7.6433,0.410590856096298
-19.2776,-1.10163929440589e-11,-0.00706184253104708,-0.997729178295358,"forward",7.6433,0.410590856096298
-19.2654,-1.10182880483606e-11,-0.00706305735047359,-0.99777381707455,"forward",7.6433,0.410590856096298
-19.2532,-1.10201998509171e-11,-0.0070642828739887,-0.997818463599095,"forward",7.6433,0.410590856096298
-19.2409,-1.1022128297476e-11,-0.00706551906681492,-0.997863117936423,"forward",7.6433,0.410590856096298
-19.2285,-1.10240733407072e-11,-0.0070667658986123,-0.997907780153774,"forward",7.6433,0.410590856096298
-19.2161,-1.10260349336886e-11,-0.00706802333930228,-0.997952450318196,"forward",7.6433,0.410590856096298
-19.2036,-1.10280130289996e-11,-0.0070692913584868,-0.997997128496545,"forward",7.6433,0.410590856096298
-19.191,-1.10300075805253e-11,-0.00707056992660488,-0.998041814755491,"forward",7.6433,0.410590856096298
-19.1784,-1.10320185460899e-11,-0.00707185901662053,-0.998086509161532,"forward",7.6433,0.410590856096298
-19.1657,-1.10340458811663e-11,-0.00707315859999051,-0.998131211780988,"forward",7.6433,0.410590856096298
-19.153,-1.10360895459742e-11,-0.00707446865121447,-0.998175922680015,"forward",7.6433,0.410590856096298
-19.1402,-1.10381494992365e-11,-0.00707578914383243,-0.998220641924604,"forward",7.6433,0.410590856096298
-19.1273,-1.10402257008305e-11,-0.00707712005212465,-0.998265369580581,"forward",7.6433,0.410590856096298
-19.1144,-1.10423181134899e-11,-0.00707846135220225,-0.998310105713624,"forward",7.6433,0.410590856096298
-19.1013,-1.10444267018712e-11,-0.00707981302140894,-0.998354850389265,"forward",7.6433,0.410590856096298
-19.0883,-1.10465514265181e-11,-0.00708117503445214,-0.998399603672878,"forward",7.6433,0.410590856096298
-19.0751,-1.1048692254184e-11,-0.00708254737001964,-0.998444365629702,"forward",7.6433,0.410590856096298
-19.062,-1.10508491525927e-11,-0.00708393000742145,-0.998489136324844,"forward",7.6433,0.410590856096298
-19.0487,-1.10530220853653e-11,-0.00708532292333763,-0.998533915823265,"forward",7.6433,0.410590856096298
-19.0354,-1.10552110221798e-11,-0.00708672609833082,-0.998578704189804,"forward",7.6433,0.410590856096298
